id	alt_title	archived	co_op	collection_id	controller_support	date_added	date_modified	description	developer	esrb	favorite	filename	genre_id	gpu	hdd	last_played	mod	notes	online_multiplayer	operating_system	platform_id	play_count	players	processor	publisher	ram	region	save_path	steam_id	store	tags	title	translation	year
16		0	0		1	2021-04-21 14:01:38.675233	2023-05-20 19:19:50.093841	Humanity is still a newcomer on the futuristic galactic stage, and it's up to the charismatic Commander Shepard to investigate the actions of a rogue agent while under threat from a dangerous synthetic race known as the Geth.	BioWare	M	1	mass-effect-legendary-edition	3	2 GB VRAM	120 GB				0	Windows 64-bit	40		1	3.80 GHz	Electronic Arts	8 GB	NA				Sci-Fi, Third-Person	Mass Effect: Legendary Edition	0	2021
17		0	0		1	2021-04-21 14:07:37.985615	2023-05-13 13:13:28.957162	Create anything you can imagine. Explore randomly generated worlds. Survive dangerous mobs at night.Explore infinite worlds and build everything from the simplest of homes to the grandest of castles. Play in creative mode with unlimited resources or mine deep into the world in survival mode, crafting weapons and armor to fend off dangerous mobs.	Mojang	E10	0	minecraft-java-edition	2	OpenGL 2.1 compatible	200 MB				1	Java-compatible (JRE 1.8+)	17		1	2.6 GHz	Microsoft Studios	2 GB	NA				Survival, Sandbox, Open World	Minecraft: Java Edition	0	2011
18		0	0	129	1	2021-04-21 14:12:18.257671	2024-04-03 11:28:56.337217	"Forge your weapon and follow the path of the Jedi.

_Jedi Knight: Jedi Academy_ is the latest installment of the highly acclaimed Jedi Knight series. Take on the role of a new student eager to learn the ways of the Force from Jedi Master Luke Skywalker. Interact with famous Star Wars characters in many classic light side or follow the path of power and evil to the dark side.

- Customize your character by defining both look and gender before entering the Academy to learn the power - and - dangers - of the Force.
- Construct your own lightsaber from handle to blade. As you progress, discover the power of wielding two lightsabers or the ultimate double-bladed lightsaber made famous by Darth Maul.
- New vehicles, weapons, force powers and Star Wars locations.
- Unique level selection system allows you to choose your own missions and adventures.
- Six multiplayer modes including team based siege mode and two-on-one power duel. Fight 23 multiplayer arenas!"	Raven Software	T	1	star-wars-jedi-knight-jedi-academy	1	32 MB VRAM / DirectX 9.0a compatible	1.3 GB				1	Windows 98 SE	40		1	450 MHz	LucasArts	128 MB	NA			STEAM	Fantasy, Third-Person	Star Wars Jedi Knight: Jedi Academy	0	2003
19		0	0	114	1	2021-04-21 18:56:48.432597	2024-02-01 14:53:19.953018	Gamers strive to be the quickest teeth-brushers, the most precise nose pickers, the best free-throwers, the most accurate apple shooters, the most skillful paper-airplane pilots, and the victors in countless other quick contests that take no more than a few seconds to complete.	Nintendo R	E	0	warioware-inc-mega-party-games.rvz	1						0		10		4		Nintendo		NA				Party	WarioWare, Inc.: Mega Party Game$!	0	2004
20		0	0	23	1	2021-04-21 19:21:32.493997	2022-11-10 02:40:15.699480	Link, a young man raised as a wrangler in a small, rural village, is ordered by the mayor to attend the Hyrule Summit. He sets off, oblivious to the dark fate that has descended upon the kingdom. When he enters the Twilight Realm that has covered Hyrule, he transforms into a wolf and is captured. A mysterious figure named Midna helps him break free, and with the aid of her magic, they set off to free the land from the shadows. Link must explore the vast land of Hyrule and uncover the mystery behind its plunge into darkness.	Nintendo	T	0	legend-of-zelda-twilight-princess.rvz	3						0		10		1		Nintendo		NA				Fantasy	Legend of Zelda: Twilight Princess, The	0	2006
21		0	0		1	2021-04-21 20:54:46.597662	2022-11-10 00:11:07.265543	Luigi's Won a Mansion! The bad news is that it's crawling with ghosts... and Mario seems to be trapped inside...Luigi's in for a spooktacular surprise as he creeps into the pitch-dark mansion he won, armed with only a flashlight and a vacuum custom-made for sucking up ghosts.	Nintendo	E	0	luigis-mansion.rvz	4						0		10		1		Nintendo		NA					Luigi's Mansion	0	2001
22		0	1	126	1	2021-04-21 21:08:50.806236	2024-03-24 21:30:37.191095	The Mushroom Kingdom just got a whole lot more hectic as Mario and friends double up for furious kart racing. This time around, each kart holds two racers that can switch places at any time, so choose from a huge cast of favorites and pair them up any way you see fit. The character in front handles the driving duties, while the character in the rear doles out damage with six normal items and eight special items that only specific characters can use.	Nintendo	E	0	mario-kart-double-dash.rvz	11						0		10		4		Nintendo		NA				Kart Racing	Mario Kart: Double Dash!!	0	2003
23		0	0		1	2021-04-21 21:15:29.343473	2024-01-23 23:44:37.109390	You can play more than 80 new minigames in the most recent Mario-themed party game, Mario Party 7. Mario and pals needed some time off, but they forgot to invite Bowser on their cruise. You can battle against an angry Bowser or up to seven of your friends.	Hudson Entertainment	E	0	mario-party-7.rvz	15						0		10		8		Nintendo		NA				Party	Mario Party 7	0	2005
24		0	0	127	1	2021-04-21 21:21:59.162649	2024-03-24 22:47:08.707473	The superstars of the Mushroom Kingdom have gathered on the diamond to power up America's game! Pick a captain, fill your team with your favorite characters from the Mario universe, then hit the field. Each captain has a special Star Skill for pitching and batting, so whether you're hurling fireballs as Mario or blasting curving banana-ball dingers as DK, you've never played ball like this!	Namco	E	0	mario-superstar-baseball.rvz	13						0		10		2		Nintendo		NA				None	Mario Superstar Baseball	0	2005
25		0	0		1	2021-04-21 21:42:15.305568	2023-02-01 18:56:33.204757	Naruto: Clash of Ninja 2 follows the plot of the series, in story mode, starting from Naruto's graduation from the Ninja Academy to the end of the Chunin exams. The game retains the characters from the first installment, and added characters from the Chunin Exam arc. This installment allows four players to fight in multiplayer at the same time.	Eighting	T	0	naruto-clash-of-ninja-2.rvz	7						0		10		4		D3 Publisher Inc		NA					Naruto: Clash of Ninja 2	0	2004
26		0	1		1	2021-04-21 21:44:57.064288	2022-11-10 00:39:49.946567	Captain Olimar has returned to the planet where the Pikmin live, and he's all business this time. The company he works for is going bankrupt, so to save it, Olimar must salvage the treasure buried all over the planet. Of course, he'll need the help of the Pikmin to do that--he can't do anything by himself. Control one of two main characters--Olimar or his assistant--as you command your Pikmin to defeat enemies, propagate more Pikmin, collect precious doodads, and solve puzzles.	Nintendo	E	0	pikmin-2.rvz	4						0		10		2		Nintendo		NA				Strategy	Pikmin 2	0	2004
27		0	0		1	2021-04-21 21:53:38.513832	2022-11-10 00:35:43.251459	The tiny Extra-Terrestrial Captain Olimar is on vacation when his ship is hit by a comet.  The S.S Dolphin makes a forced landing on a planet, shedding parts as he goes (presumed to be Earth). Here he encounters the Pikmin. The Pikmin are on the verge of extinction and Olimar has 30 days to retrieve all the parts of his ship leading the Pikmin in a dash for survival.	Nintendo	E	0	pikmin.rvz	4						0		10		1		Nintendo		NA				Strategy	Pikmin	0	2001
28		0	0		1	2021-04-21 21:59:42.929238	2024-01-23 22:23:54.376836	Join John Vattic, a man endowed with psychic abilities, as he attempts to escape a US medical facility. As you discover more and more of John's psychic powers, you'll slowly uncover the events that landed him in the hands of the researchers. You'll gain access to a variety of psionic abilities (such as Psi-Blast, Telekinesis, Projection, and Charm) and powerful weapons (including handguns, tranquilizers, and machine guns). Complete your objectives using a combination of shooting action and stealth tactics.	Free Radical Design	T	0	second-sight.rvz	1						0		10		2		Codemasters		NA				Third-Person	Second Sight	0	2004
29		0	0		1	2021-04-21 22:05:13.093470	2024-01-23 22:30:52.939327	You can battle characters from the Shrek movies in Shrek SuperSlam. The game lets you play as one of 20 characters, such as the heroic Shrek or villainous Prince Charming. Use weapons, potions, or a character's signature special move to fight through 16 fully-destructible arenas. Then, battle with up to four of your friends or play through more than 30 minigames.	Shaba Games	E10	0	shrek-superslam	7						0		40		4		Activision		NA				None	Shrek SuperSlam	0	2005
30		0	0	3	1	2021-04-21 22:06:35.387050	2022-11-10 02:52:17.540641	Players can discover the open mountain in the newest version of the smash-hit SSX snowboarding franchise. SSX 3 allows gamers to go anywhere gravity will take them. Players will discover a colossal mountain where they can immerse themselves in a free-roaming snow paradise.	Electronic Arts	E	0	ssx-3.rvz	13						0		10		2		Electronic Arts		NA					SSX 3	0	2003
31		0	0	127	1	2021-04-21 22:16:27.702507	2024-03-24 22:45:05.834909	Nintendo's foray into sports titles continues with Super Mario Strikers, a new soccer game that's unlike anything ever to hit the pitch. Whether players are freezing their opponents with an ice-cold shell, unleashing a spiny shell on their hapless opponents or making entire teams flee in terror with a roving Chain Chomp, they're sure to see something new around every corner kick.	Next Level Games	E	0	super-mario-strikers.rvz	13						0		10		4		Nintendo		NA				Soccer	Super Mario Strikers	0	2005
32		0	0		1	2021-04-21 22:20:57.677953	2022-11-10 17:48:23.170685	The second in the Super Smash Bros. series brings the four-player brawling action to the GameCube, significantly expanding the roster and single-player content while refining gameplay.	HAL Laboratory	T	0	super-smash-bros-melee.rvz	7						0		10		4		Nintendo		NA					Super Smash Bros. Melee	0	2001
33		0	1	107	1	2021-04-21 22:27:27.629024	2024-01-29 11:58:28.634450	Be your favorite Teenage Mutant Ninja Turtle and master your ninja skills in their action-packed world. Roam NYC streets, scour underground sewers and fight your way across rooftops on a collision course with The Shredder and his vile pack of foot ninjas. Find scrolls to unlock special attack moves and effects. Interact with characters from the animated television series, such as Splinter and Casey Jones. Don't hide in your shell--be a hero.	Konami	E	0	teenage-mutant-ninja-turtles.rvz	1						0		10		2		Konami		NA				Hack & Slash	Teenage Mutant Ninja Turtles (2003)	0	2003
34		0	0		1	2021-04-21 22:30:58.100001	2023-02-01 19:02:01.965857	"Viewtiful Joe funky cartoon-style visuals with classic 2D scrolling gameplay and introduces the world's quirkiest million dollar action hero. More than just any ordinary dude, Joe must transform into the ultimate superhero. It's up to you to activate the correct view mode like ""slow"" or ""zoom in"" in order to clobber your enemies with beautiful style. You can also speed up or slow down your visual effects for even more ""viewtiful"" moves."	Clover Studio	T	0	viewtiful-joe.rvz	1						0		10		1		Capcom		NA				Brawler	Viewtiful Joe	0	2003
35		0	0	114	1	2021-04-21 22:36:59.094822	2024-02-01 14:53:31.869767	While Wario enjoys the riches from his many adventures, a mysterious black jewel in his trove transforms gems into monsters. Now, Wario must scramble to recover his riches in an alternate world filled with quirky puzzles, swarming enemies, and lots of loot. As Wario, you'll punch, kick, jump, grab monsters and objects, and inhale surrounding coins like a vacuum cleaner. You must cling to 3D balls to fight bosses, find hidden areas through trap doors, and bash your surroundings to uncover secrets.	Treasure	E	0	wario-world.rvz	1						0		10		1		Nintendo		NA				Platformer	Wario World	0	2003
36		0	1		1	2021-04-25 19:57:08.882389	2022-03-29 03:44:45.724276	A group of runaway wizard apprentices decide to skip their training to search for the Nine Parchments. As the wannabe wizards rapidly discover powerful new spells and ignore all safety aspects, it's natural that their hasty progress results in lots of deadly accidents...	Frozenbyte	E10	0	nine-parchments	1	1 GB of VRAM / DirectX 10 compatible	7 GB				1	Windows 7	40		4	2.0 GHz	Frozenbyte	4 GB	NA			HUMBLE	Fantasy, Shooter	Nine Parchments	0	2018
37		0	1		1	2021-04-25 20:06:39.185069	2022-02-06 01:09:02.407197	Biped is a coop action adventure game with a strong focus on moment-to-moment collaboration between 2 player	NEXT Studios	E	0	1071870	1	Nvidia GeForce GTX 660	5 GB				1	Windows 7 SP1	35		2	i3 Dual Core or Equivalent	NEXT Studios	4 GB	NA		1071870	STEAM	Puzzle	Biped	0	2020
38		0	1		1	2021-05-10 18:14:51.187751	2022-11-09 20:44:28.997824	Your UFO has crash landed, and the FBI is out to get you! Time to take them out!	The Behemoth	T	0	alien-hominid.rvz	1						0		10		2		O~3 Entertainment		NA				Shooter	Alien Hominid	0	2004
39		0	0		1	2021-05-19 20:10:46.030848	2022-04-01 00:03:01.591099	"Capcom's answer to Tetris, Super Puzzle Fighter II Turbo is a puzzle game made and released by Capcom. It features the ""super deformed"" or ""chibi"" sprites from Pocket Fighter/Super Gem Fighter Mini Mix, and cameos from all over Capcom's fighting universe.,"	Capcom	E	0	super-puzzle-fighter-ii-turbo.chd	9						0		29		2		Capcom		NA					Super Puzzle Fighter II Turbo	0	1996
40		0	0	22	1	2021-05-19 20:33:29.913528	2022-10-22 15:12:11.353745	"The open-ended gameplay mixed with RPG mechanics in this installment of Castlevania platformers set the template for later games in the series (coining the term ""Metroidvania"")."	Konami	T	0	castlevania-symphony-of-the-night.chd	2						0		29		1		Konami		NA				Metroidvania, 2D Scrolling	Castlevania: Symphony of the Night	0	1997
41		0	0	64	1	2021-06-09 16:29:33.204855	2022-11-30 00:39:43.902956	A turn-based tactics RPG, set in the near future where giant mecha fight alongside or against tanks and troops.	Squaresoft	T	0	front-mission-3.chd	12						0		29		1		Squaresoft		NA				Strategy	Front Mission 3	0	2000
42		0	0		1	2021-06-09 16:37:21.180748	2022-11-01 04:29:21.206957	Strider Hiryu must assassinate Grandmaster Meio in this 2D scrolling action-adventure game.	Capcom	E	0	strider.chd	1						0		29		1		Capcom		NA				Platformer	Strider	0	2000
43		0	0	98	1	2021-06-09 16:41:20.011755	2024-01-28 11:16:45.410489	It's a whole new world to blow away with new cars, new battlegrounds, new killer combat! Now with smarter deadlier, deeper battles for world-wide creative killing behind the wheel. Set the world on fire.	Singletrac	T	0	twisted-metal-2.chd	1						0		29		2		Sony		NA				Shooter	Twisted Metal 2	0	1996
44		0	1		1	2021-06-09 21:24:53.562750	2022-10-26 16:09:11.513983	Far into the future, a rogue group of terrorist robots wreak havoc on the world and it's citizens. The Anti Robot Squad Special Forces has been created to overthrow these radical robots. With an arsenal of weapons and high-powered Motor Boots, you must lead a courageous legion of seven members through multiple levels of robotic terror, huge bosses and other evils.	Psikyo	T	0	cannon-spike.chd	1						0		8		2		Capcom		NA				Shooter	Cannon Spike	0	2000
45		0	0		1	2021-06-09 21:28:12.740228	2022-10-26 16:13:09.306295	ChuChu Rocket is an action puzzler, designed predominantly as a multi-player game. You have indirect control over mice, and must guide them to the safety of a rocket, and away from a cat. You do this by placing arrows on the ground, which they will follow. The multi-player game is a frantic all-against-all duel, in which each player's mice will only follow instructions of their own colour. You can play this mode on your own against CPU opponents, or take on a series of predefined puzzles	Sonic Team	E	0	chuchu-rocket.chd	9						0		8		4		SEGA		NA				Strategy	ChuChu Rocket!	0	2000
46		0	0		1	2021-06-09 21:31:21.708700	2022-10-26 17:19:32.038682	A group of long time friends now unite in the pursuit of honor and excellence. Setting all past rivalries aside, they band together to uncover the mystery behind an unusual series of events. Join over 20 playable characters, each with their own unique skills and custom attacks, as they compete in 3-on-3 battles in beautifully rendered 3-D worlds.	Capcom	T	0	project-justice.chd	7						0		8		2		Capcom		NA					Project Justice	0	2001
47		0	0		1	2021-06-09 21:37:21.851867	2022-10-26 15:59:21.160298	A group of space pirates known as the Cosmo Gang is concocting an evil scheme, which involves smuggling rare fruits and using them for their own foul purposes. Two young mecha pilots, Riki and his sister Mami, board a giant mecha called Bangai-O, in order to confront the pirates in battle and foil their villainous plans.	Treasure	E	0	bangai-o.chd	1						0		8		1		Conspiracy Entertainment		NA				Shooter	Bangai-O	0	2001
48		0	0		1	2021-06-09 21:44:48.174484	2022-10-26 00:50:50.804529	Cosmic Smash is a 3D Breakout/tennis-like game released for Sega NAOMI arcade hardware internationally. It was later ported to the Sega Dreamcast, but only in Japan.	Sega Rosso	E	0	cosmic-smash.chd	13						0		8		1		SEGA		JP					Cosmic Smash	0	2000
49		0	0	102	1	2021-06-09 21:48:10.939189	2024-01-28 19:32:51.732384	Marvel vs. Capcom 2: New Age of Heroes is a fighting game, developed and published by Capcom. It is the fourth game in the Marvel vs. Capcom series of fighting games.	Capcom	T	0	marvel-vs-capcom-2.chd	7						0		8		2		Capcom		NA				None	Marvel vs. Capcom 2	0	2000
50		0	0		1	2021-06-09 21:53:46.916121	2024-04-03 20:15:11.352570	"Mr. Driller's world has been covered with mysterious colored blocks. Armed with only a mighty drill, you'll have to dig your way down to safety before his air supply runs out!

Fast-paced, frantic puzzle action with 3 addictive modes!

- Arcade mode - For original arcade thrills! 
- Time attack mode - Speed is the key here!
- Survival mode - How DEEP can you dig?

Drill! Drill! Drill! Once you start drillin', there's no chillin'!"	Namco	E	0	mr-driller.chd	9						0		8		1		Virgin Interactive		NA				None	Mr. Driller	0	2000
52		0	0		1	2021-06-09 22:00:37.625321	2022-10-26 17:02:42.137944	"The creators of Street Fighter add a new dimension to 3D fighting. In Power Stone, two fighters take to multi-level arenas with Power Stones and other weapons lying around for use.

Each game contains Power Stones. When you have enough stones (between three to five), your character transforms into an almost unbeatable warrior, with an all-new range of moves (although this does not last for long)."	Capcom	T	0	power-stone.chd	7						0		8		4		SEGA		NA				Party	Power Stone	0	1999
53		0	0		1	2021-06-09 22:06:57.256589	2022-10-26 17:32:10.482026	Rez is a musical on-rails shooter that blurs the line between user input and audio/visual feedback, creating a unique sensory experience.	United Game Artists	E	0	rez.chd	1						0		8		1		SEGA		JP				Shooter	Rez	0	2001
54		0	0		1	2021-06-09 22:10:10.912155	2024-01-23 19:06:42.119438	Eat or be eaten! Assume the role of an animal in it's early stages of evolutionary development. As your animal instincts take over, you will boldly traverse hostile environments, savagely stalking your prey to assert your place in the animal chain of power.	Intelligent Systems	E	0	cubivore-survival-of-the-fittest.rvz	1						0		10		1		Atlus		NA				Third-Person, Simulation	Cubivore: Survival of the Fittest	0	2002
55		0	0		1	2021-06-09 22:15:16.778736	2023-05-14 23:42:21.519860	Def Jam: Fight for NY is the sequel to the out-of-left-field Def Jam: Vendetta.	AKI USA Inc	M	0	def-jam-fight-for-ny.gcz	7						0		10		4		Electronic Arts		NA					Def Jam: Fight for NY	0	2004
56		0	0		1	2021-06-09 22:42:45.453635	2022-02-06 00:57:16.644879	Craftopia is the brand new multiplayer survival action game made in Japan. We combined many features we find enjoyable, such as hunting, farming, hack-and-slash, building, automation to develop this game.	Pocketpair		0	1307550	2	2 GB VRAM / DirectX 11 compatible	10 GB				1	Windows 7 SP1	35		1	2.0 GHz Dual Core	Pocketpair	8 GB	NA		1307550	STEAM	Survival, Sandbox, Open World	Craftopia	0	2020
57		0	1	9	1	2021-06-09 22:48:17.043403	2022-02-06 01:07:35.958791	Experience a galaxy of Worlds made entirely from LEGO bricks. EXPLORE gigantic landscapes, DISCOVER countless surprises, and CREATE anything you can imagine by building with LEGO bricks.	TT Games	E	0	332310	4	512 MB VRAM / DirectX 9 compatible / Shader model 3.0 support	10 GB				1	Windows 7	35		2	2 GHz Dual Core	WB Games	4 GB	NA		332310	STEAM	Sandbox	LEGO Worlds	0	2017
58		0	0		1	2021-06-09 22:54:01.983464	2023-05-14 22:46:27.319574	The TRANSFORMERS are back, and this time they’re in the hands of acclaimed developer PlatinumGames, who have combined their over-the-top brawler action with comic book inspired art to create a TRANSFORMERS game like none other.	PlatinumGames	T	0	338930	1	512 MB VRAM / DirectX 9.0c compatible	9 GB				0	Windows Vista	35		1	Intel Core 2 Duo E4400 / AMD Athlon 64 X2 5600+	Activision	2 GB	NA		338930	STEAM		Transformers: Devastation	0	2015
59		0	0	102	1	2021-06-09 22:59:00.453269	2024-01-28 19:33:02.051169	Marvel and Capcom join forces to deliver the most frenetic 3 vs. 3 tag battles ever with Ultimate Marvel vs. Capcom 3.	Capcom	T	0	357190	7	DirectX 9.0c compatible	4 GB				1	Windows 7 SP1	35		2	2.4 GHz	Capcom	2 GB	NA		357190	STEAM	None	Ultimate Marvel vs. Capcom 3	0	2017
60		0	1	9	1	2021-06-09 23:02:48.946004	2022-02-06 01:06:14.807464	Play as your favorite ninjas, Lloyd, Jay, Kai, Cole, Zane, Nya and Master Wu to defend their home island of Ninjago from the evil Lord Garmadon and his Shark Army. Master the art of Ninjagility by wall-running, high-jumping and battling the foes of Ninjago to rank up and upgrade the ninja's combat skills.	TT Games	E10	0	640590	2	1 GB VRAM / DirectX 11 compatible	20 GB				0	Windows 7	35		2	2.9 GHz	WB Games	4 GB	NA		640590	STEAM		LEGO NINJAGO Movie Video Game, The	0	2017
61		0	1	9	1	2021-06-09 23:08:54.094422	2022-02-06 01:05:38.012395	Experience the first console videogame featuring characters and storylines from the blockbuster film Marvel’s The Avengers and the much anticipated sequel Marvel’s Avengers: Age of Ultron, and more. Play as the most powerful Super Heroes in their quest to save humanity.	TT Games	E10	0	405310	2	1 GB VRAM / DirectX 9.0c compatible	14 GB				0	Windows Vista	35		2	2.5 GHz	WB Games	4 GB	NA		405310	STEAM		LEGO Marvel Avengers	0	2016
62		1	0		1	2021-06-09 23:12:45.339471	2023-10-12 19:47:17.766407	Hades is a god-like rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre.	Supergiant Games	M	0	hades	2	1 GB of VRAM / DirectX 10 compatible	15 GB				0	Windows 7 SP1	40		1	2.4 GHz Dual Core	Supergiant Games	4 GB	NA			STEAM	Roguelite	Hades	0	2020
